"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"47","Hunter Long","JAX","TE","9","2025","5","71.4","5.5","11","14.3","2","0.2","33.3","0.40","2","100.0","18","2.0","47.4","3.60","9.00","9.00","7","3.50","1","0.50","0","0.0","1","0","0","0","2","40.0","0","","1","0.200","0","","2","100.0","0","","0","0","0.0","0","104.2","33.3","2.2","","","100.0","","0.76","0.4","3.8","3.1","0.3","0.62","3.1"
"48","John Bates","WAS","TE","15","2025","13","72.2","1.0","2","2.4","2","0.1","15.4","0.15","2","100.0","17","1.1","22.4","1.31","8.50","8.50","15","7.50","5","2.50","0","0.0","0","0","0","0","2","25.0","0","","1","0.077","0","","2","100.0","1","50.0","0","0","0.0","0","102.1","20.0","1.8","","","100.0","","0.28","0.2","3.7","2.9","0.2","0.22","2.9"
"49","Mason Taylor","NYJ","TE","13","2025","19","86.4","10.5","42","27.3","4","0.3","21.1","0.21","2","50.0","16","1.2","16.7","0.84","4.00","8.00","7","3.50","2","1.00","0","0.0","0","0","0","1","2","16.7","0","","0","0.000","0","","2","50.0","0","","0","0","0.0","0","60.4","22.2","-4.6","","","100.0","","0.19","0.3","3.6","7.9","0.6","0.41","7.9"
"50","Brock Wright","DET","TE","11","2025","9","60.0","3.0","6","5.0","2","0.2","14.3","0.22","2","100.0","16","1.5","12.1","1.78","8.00","8.00","10","5.00","2","1.00","0","0.0","0","0","0","0","1","10.0","0","","1","0.111","0","","2","100.0","0","","0","0","0.0","0","100.0","15.4","1.9","","","100.0","","0.40","0.3","3.6","2.9","0.3","0.32","2.9"
"51","Cade Otton","TB","TE","16","2025","24","66.7","1.0","2","1.2","2","0.1","5.9","0.08","2","100.0","16","1.0","6.1","0.67","8.00","8.00","14","7.00","10","5.00","0","0.0","0","0","0","0","0","0.0","1","0.50","1","0.042","0","","2","100.0","0","","0","0","0.0","0","100.0","6.5","2.4","","","100.0","","0.15","0.2","3.6","2.8","0.2","0.12","2.8"
"52","Pat Freiermuth","PIT","TE","17","2025","12","85.7","1.7","5","4.8","3","0.2","23.1","0.25","2","66.7","15","0.9","30.0","1.25","5.00","7.50","14","7.00","7","3.50","0","0.0","0","0","0","0","1","12.5","1","0.50","0","0.000","0","","3","100.0","1","33.3","1","0","0.0","0","78.5","25.0","-1.0","","","100.0","","0.29","0.2","3.5","3.9","0.2","0.33","3.9"
"53","Zach Ertz","WAS","TE","13","2025","10","100.0","3.0","6","19.4","2","0.2","40.0","0.20","2","100.0","14","1.1","29.8","1.40","7.00","7.00","8","4.00","4","2.00","0","0.0","0","0","0","0","2","50.0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","95.8","40.0","0.9","","","100.0","","0.34","0.3","3.4","2.9","0.2","0.29","2.9"
"54","Jack Stoll","NO","TE","15","2025","6","46.2","3.5","7","9.9","2","0.1","18.2","0.33","2","100.0","14","0.9","20.9","2.33","7.00","7.00","7","3.50","2","1.00","0","0.0","0","0","0","0","1","12.5","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","95.8","18.2","0.6","","","100.0","","0.57","0.2","3.4","2.8","0.2","0.46","2.8"
"55","Darren Waller","MIA","TE","9","2025","6","85.7","11.0","22","30.1","2","0.2","33.3","0.33","1","50.0","13","1.4","14.6","2.17","6.50","13.00","13","13.00","1","1.00","0","0.0","0","0","0","1","2","40.0","1","1.00","1","0.167","0","","1","50.0","0","","0","0","0.0","0","70.8","40.0","-1.4","","","100.0","","0.38","0.3","2.3","3.6","0.4","0.60","3.6"
"56","Kylen Granson","PHI","TE","17","2025","9","75.0","12.0","12","21.8","1","0.1","10.0","0.11","1","100.0","12","0.7","13.5","1.33","12.00","12.00","0","","","","0","0.0","0","0","0","0","0","0.0","0","","1","0.111","0","","1","100.0","0","","0","0","0.0","0","116.7","10.0","3.3","","","100.0","","0.24","0.1","2.2","1.5","0.1","0.17","1.5"
