"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"88","Ty Chandler","MIN","RB","3","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","","-1.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.5","0.2"
"89","Chuba Hubbard","CAR","RB","15","2025","1","5","0.3","5.00","0","0","1","","0","","0.0","","100.0","","2","2.00","4","4.00","80.0","1.00","0","","0","0","","","1","100.0","5","0","5.00","100.0","0.0","0.5","0.5","0.0"
"90","Miles Sanders","DAL","RB","4","2025","1","4","1.0","4.00","1","0","1","","0","","20.0","100.0","100.0","","0","","0","","","4.00","0","","0","0","","","1","100.0","4","1","4.00","100.0","1.6","6.4","1.8","0.5"
"91","Will Shipley","PHI","RB","15","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","","-1.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.5","0.0"
"92","Ameer Abdullah","IND","RB","13","2025","1","5","0.4","5.00","0","0","0","","0","","0.0","","100.0","","0","","2","2.00","40.0","3.00","0","","0","0","","","1","100.0","5","0","5.00","100.0","0.0","0.5","0.5","0.0"
"93","Corey Kiner","ARZ","RB","4","2025","1","4","1.0","4.00","0","0","0","","0","","0.0","","100.0","","0","","2","2.00","50.0","2.00","0","","0","0","","","1","100.0","4","0","4.00","100.0","0.1","0.4","0.5","0.1"
"94","Clyde Edwards-Helaire","KC","RB","2","2025","1","-1","-0.5","-1.00","0","0","0","","0","","0.0","","","100.0","0","","0","","","-1.00","0","","0","0","","","1","100.0","-1","0","-1.00","","-0.1","-0.1","0.6","0.3"
"95","Josh Williams","TB","RB","2","2025","1","4","2.0","4.00","0","0","0","","0","","0.0","","100.0","","0","","1","1.00","25.0","3.00","0","","0","0","","","1","100.0","4","0","4.00","100.0","0.2","0.4","0.5","0.3"
"96","Trevor Etienne","CAR","RB","17","2025","1","2","0.1","2.00","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","100.0","0.00","0","","0","0","","","1","100.0","2","0","2.00","","0.0","0.2","0.5","0.0"
"97","Jaylen Wright","MIA","RB","10","2025","1","3","0.3","3.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","33.3","2.00","0","","0","0","","","1","100.0","3","0","3.00","","0.0","0.3","0.5","0.0"
"98","Nyheim Hines","LAC, NO","RB","4","2025","1","-3","-0.8","-3.00","0","0","0","","0","","0.0","","","100.0","0","","0","","","-3.00","0","","0","0","","","1","100.0","-3","0","-3.00","","-0.1","-0.3","0.4","0.1"
"99","Tank Bigsby","JAX, PHI","RB","16","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","","-1.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.3","0.0"
"100","Trayveon Williams","LAC, CLV","RB","6","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","0","","","0.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.3","0.1"
"101","Justice Hill","BLT","RB","10","2025","1","2","0.2","2.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","50.0","1.00","0","","0","0","","","1","100.0","2","0","2.00","","0.0","0.2","0.4","0.0"
"102","Kyren Williams","LA","RB","17","2025","1","4","0.2","4.00","0","0","0","","0","","0.0","","100.0","","0","","3","3.00","75.0","1.00","0","","0","0","","","1","100.0","4","0","4.00","100.0","0.0","0.4","0.5","0.0"
"103","Evan Hull","NO","RB","6","2025","1","2","0.3","2.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","50.0","1.00","0","","0","0","","","1","100.0","2","0","2.00","","0.0","0.2","0.5","0.1"
"104","Jawhar Jordan","HST","RB","4","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","0","","","0.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.4","0.1"
