"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"36","Justice Hill","BLT","RB","10","2025","9","81.8","1.0","2","3.2","2","0.2","25.0","0.22","2","100.0","16","1.6","19.0","1.78","8.00","8.00","14","7.00","1","0.50","0","0.0","0","0","0","0","1","25.0","1","0.50","1","0.111","0","","2","100.0","0","","0","0","0.0","0","100.0","33.3","1.8","","","","100.0","0.40","0.4","3.6","2.8","0.3","0.31","2.8"
"37","Alvin Kamara","NO","RB","11","2025","12","85.7","-2.0","-8","-11.4","4","0.4","36.4","0.33","4","100.0","15","1.4","33.3","1.25","3.75","3.75","23","5.75","8","2.00","0","0.0","0","0","0","0","1","20.0","0","","0","0.000","0","","4","100.0","1","25.0","0","0","0.0","0","82.3","36.4","-2.0","","","","100.0","0.46","0.5","5.5","5.5","0.5","0.46","5.5"
"38","TreVeyon Henderson","NE","RB","17","2025","10","76.9","1.5","3","2.8","2","0.1","20.0","0.20","2","100.0","15","0.9","21.1","1.50","7.50","7.50","12","6.00","4","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","97.9","22.2","1.3","","","","100.0","0.35","0.2","3.5","2.7","0.2","0.27","2.7"
"39","Samaje Perine","CIN","RB","15","2025","9","75.0","-1.3","-4","-5.5","3","0.2","30.0","0.33","2","66.7","14","0.9","25.0","1.56","4.67","7.00","18","9.00","9","4.50","0","0.0","0","0","0","0","1","14.3","0","","0","0.000","0","","2","66.7","1","33.3","0","0","0.0","0","77.1","30.0","-1.1","","","","100.0","0.38","0.2","3.4","4.1","0.3","0.46","4.1"
"40","Chuba Hubbard","CAR","RB","15","2025","11","84.6","-3.0","-6","-20.7","2","0.1","20.0","0.18","2","100.0","14","0.9","21.5","1.27","7.00","7.00","20","10.00","8","4.00","0","0.0","0","0","0","0","1","12.5","1","0.50","1","0.091","0","","2","100.0","1","50.0","0","0","0.0","0","95.8","20.0","1.5","","","","100.0","0.31","0.2","3.4","2.5","0.2","0.23","2.5"
"41","Woody Marks","HST","RB","16","2025","34","73.9","0.7","2","0.6","3","0.2","7.0","0.09","3","100.0","13","0.8","4.0","0.38","4.33","4.33","11","3.67","7","2.33","0","0.0","0","0","0","0","0","0.0","1","0.33","0","0.000","0","","3","100.0","0","","1","1","100.0","0","84.7","7.5","-2.2","","","","100.0","0.13","0.3","4.3","4.0","0.2","0.12","4.0"
"42","Dylan Laube","LV","RB","17","2025","1","50.0","-4.0","-4","100.0","1","0.1","100.0","1.00","1","100.0","13","0.8","100.0","13.00","13.00","13.00","17","17.00","12","12.00","0","0.0","0","0","0","0","0","0.0","1","1.00","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","7.4","","","","100.0","2.30","0.1","2.3","1.5","0.1","1.51","1.5"
"43","Bam Knight","ARZ","RB","12","2025","7","53.8","0.7","2","4.3","3","0.3","27.3","0.43","2","66.7","13","1.1","16.7","1.86","4.33","6.50","6","3.00","2","1.00","0","0.0","1","0","0","0","0","0.0","0","","1","0.143","0","","2","66.7","0","","0","0","0.0","0","75.7","27.3","-2.0","","","","100.0","0.47","0.3","3.3","4.5","0.4","0.65","4.5"
"44","Jake Ferguson","DAL","TE","17","2025","2","100.0","-1.0","-1","-11.1","1","0.1","50.0","0.50","1","100.0","12","0.7","48.0","6.00","12.00","12.00","13","13.00","9","9.00","0","0.0","1","0","0","0","1","50.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","116.7","50.0","7.1","","","","100.0","1.10","0.1","2.2","1.7","0.1","0.85","1.7"
"45","Travis Hunter","JAX","WR","7","2025","1","100.0","1.0","1","100.0","1","0.1","100.0","1.00","1","100.0","12","1.7","100.0","12.00","12.00","12.00","11","11.00","11","11.00","0","0.0","0","0","0","0","0","0.0","1","1.00","1","1.000","0","","1","100.0","0","","0","0","0.0","0","116.7","100.0","6.9","","","","100.0","2.20","0.3","2.2","1.2","0.2","1.20","1.2"
"46","Jeremy McNichols","WAS","RB","17","2025","13","81.3","-1.3","-4","-3.0","3","0.2","21.4","0.23","2","66.7","12","0.7","9.0","0.92","4.00","6.00","16","8.00","8","4.00","0","0.0","1","0","0","0","1","12.5","3","1.50","1","0.077","0","","2","66.7","1","33.3","0","0","0.0","0","74.3","23.1","-1.9","","","","100.0","0.25","0.2","3.2","4.7","0.3","0.36","4.7"
"47","Tyler Allgeier","ATL","RB","17","2025","7","70.0","-1.5","-3","-4.6","2","0.1","20.0","0.29","1","50.0","12","0.7","11.0","1.71","6.00","12.00","15","15.00","-1","-1.00","0","0.0","0","0","0","0","1","14.3","0","","0","0.000","0","","1","50.0","1","50.0","0","0","0.0","0","68.8","20.0","0.0","","","","100.0","0.31","0.1","2.2","4.3","0.3","0.61","4.3"
"48","Isiah Pacheco","KC","RB","13","2025","19","79.2","-1.5","-3","-3.2","2","0.2","10.0","0.11","2","100.0","11","0.8","11.2","0.58","5.50","5.50","14","7.00","6","3.00","0","0.0","0","0","0","0","1","9.1","0","","1","0.053","0","","2","100.0","0","","0","0","0.0","0","89.6","10.5","-0.5","","","","100.0","0.16","0.2","3.1","2.9","0.2","0.15","2.9"
"49","Will Shipley","PHI","RB","15","2025","11","91.7","13.0","13","26.0","1","0.1","14.3","0.09","1","100.0","11","0.7","34.4","1.00","11.00","11.00","-2","-2.00","","","0","0.0","0","0","0","0","0","0.0","0","","1","0.091","0","","1","100.0","0","","0","0","0.0","0","112.5","20.0","4.0","","","","100.0","0.19","0.1","2.1","1.3","0.1","0.12","1.3"
"50","Jake Tonges","SF","TE","16","2025","1","100.0","3.0","3","100.0","1","0.1","100.0","1.00","1","100.0","11","0.7","100.0","11.00","11.00","11.00","8","8.00","4","4.00","0","0.0","0","0","0","0","0","0.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","112.5","100.0","4.7","","","","100.0","2.10","0.1","2.1","1.4","0.1","1.38","1.4"
"51","Nick Chubb","HST","RB","15","2025","19","86.4","2.4","12","7.9","5","0.3","25.0","0.26","3","60.0","11","0.7","7.3","0.58","2.20","3.67","5","1.67","3","1.00","0","0.0","1","0","0","0","0","0.0","0","","0","0.000","1","20.0","4","80.0","0","","1","1","100.0","0","64.6","25.0","-4.4","","","","100.0","0.22","0.3","4.1","6.8","0.5","0.36","6.8"
"52","Audric Estime","NO","RB","6","2025","6","85.7","-6.0","-6","-7.1","1","0.2","16.7","0.17","1","100.0","11","1.8","21.2","1.83","11.00","11.00","17","17.00","2","2.00","0","0.0","0","0","0","0","1","20.0","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","112.5","16.7","5.9","","","","100.0","0.35","0.4","2.1","1.5","0.3","0.25","1.5"
"53","Cam Skattebo","NYG","RB","8","2025","14","100.0","2.3","7","10.3","3","0.4","30.0","0.21","2","66.7","10","1.3","17.9","0.71","3.33","5.00","8","4.00","5","2.50","0","0.0","0","0","0","0","1","16.7","0","","0","0.000","0","","3","100.0","0","","1","0","0.0","0","71.5","33.3","-3.2","","","","100.0","0.21","0.4","3.0","4.0","0.5","0.29","4.0"
"54","LeQuint Allen","JAX","RB","17","2025","12","70.6","-2.0","-4","-3.7","2","0.1","20.0","0.17","1","50.0","10","0.6","16.4","0.83","5.00","10.00","6","6.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","50.0","0","","0","0","0.0","0","64.6","20.0","-0.6","","","","100.0","0.17","0.1","2.0","2.9","0.2","0.24","2.9"
"55","Dare Ogunbowale","HST","RB","17","2025","6","60.0","2.0","2","3.4","1","0.1","12.5","0.17","1","100.0","9","0.5","11.3","1.50","9.00","9.00","7","7.00","3","3.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","104.2","14.3","2.6","","","","100.0","0.32","0.1","1.9","1.4","0.1","0.23","1.4"
"56","Kaleb Johnson","PIT","RB","10","2025","4","80.0","-4.0","-8","-800.0","2","0.2","40.0","0.50","1","50.0","9","0.9","26.5","2.25","4.50","9.00","14","14.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","1","50.0","2","100.0","0","","0","0","0.0","0","62.5","40.0","-1.5","","","","100.0","0.48","0.2","1.9","3.7","0.4","0.92","3.7"
"57","Kenneth Walker","SEA","RB","17","2025","14","77.8","1.0","3","2.4","3","0.2","18.8","0.21","3","100.0","9","0.5","8.8","0.64","3.00","3.00","6","2.00","2","0.67","0","0.0","0","0","0","0","1","12.5","1","0.33","0","0.000","0","","3","100.0","0","","0","0","0.0","0","79.2","20.0","-3.4","","","","100.0","0.28","0.2","3.9","4.2","0.2","0.30","4.2"
"58","Raheem Mostert","LV","RB","12","2025","10","100.0","-1.5","-3","-7.7","2","0.2","22.2","0.20","2","100.0","9","0.8","12.7","0.90","4.50","4.50","12","6.00","4","2.00","0","0.0","0","0","0","0","2","28.6","0","","2","0.200","0","","2","100.0","1","50.0","0","0","0.0","0","85.4","22.2","-1.6","","","","100.0","0.29","0.2","2.9","3.2","0.3","0.32","3.2"
"59","Marvin Mims","DEN","WR","15","2025","3","100.0","-3.5","-7","350.0","2","0.1","66.7","0.67","2","100.0","8","0.5","57.1","2.67","4.00","4.00","15","7.50","1","0.50","0","0.0","0","0","0","0","0","0.0","2","1.00","1","0.333","0","","2","100.0","0","","0","0","0.0","0","83.3","66.7","-0.7","","","","100.0","0.93","0.2","2.8","2.7","0.2","0.88","2.7"
