"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"35","Emari Demercado","ARZ","RB","13","2025","20","80.0","3.3","10","6.1","3","0.2","15.8","0.15","2","66.7","29","2.2","24.6","1.45","9.67","14.50","28","14.00","","","0","0.0","0","0","0","0","1","11.1","0","","1","0.050","0","","2","66.7","1","33.3","0","0","0.0","0","97.9","17.6","2.7","","","","100.0","0.25","0.4","4.9","5.9","0.5","0.29","5.9"
"36","Daniel Bellinger","NYG","TE","16","2025","4","57.1","5.3","16","17.6","3","0.2","42.9","0.75","3","100.0","29","1.8","43.9","7.25","9.67","9.67","13","4.33","4","1.33","0","0.0","2","0","0","0","1","25.0","0","","1","0.250","0","","3","100.0","0","","0","0","0.0","0","106.9","42.9","2.4","","","","100.0","1.48","0.4","5.9","5.8","0.4","1.46","5.8"
"37","Kareem Hunt","KC","RB","17","2025","23","69.7","-2.5","-10","-4.2","4","0.2","13.8","0.17","3","75.0","28","1.6","12.4","1.22","7.00","9.33","37","12.33","11","3.67","0","0.0","2","0","0","0","3","14.3","1","0.33","1","0.043","0","","3","75.0","2","50.0","0","0","0.0","0","93.8","15.4","1.1","","","","100.0","0.25","0.3","5.8","7.3","0.4","0.32","7.3"
"38","Chuba Hubbard","CAR","RB","15","2025","37","80.4","-4.4","-35","-17.1","8","0.5","18.6","0.22","7","87.5","28","1.9","11.9","0.76","3.50","4.00","54","7.71","28","4.00","0","0.0","0","0","0","0","4","16.0","2","0.29","1","0.027","0","","7","87.5","3","37.5","0","0","0.0","0","81.3","21.1","-1.8","","","","100.0","0.26","0.7","9.8","12.5","0.8","0.34","12.5"
"39","Dylan Sampson","CLV","RB","15","2025","22","88.0","-4.5","-18","-28.6","4","0.3","20.0","0.18","4","100.0","27","1.8","21.4","1.23","6.75","6.75","45","11.25","19","4.75","0","0.0","1","0","0","0","1","10.0","1","0.25","1","0.045","0","","4","100.0","0","","0","0","0.0","0","94.8","20.0","1.4","","","","100.0","0.26","0.4","5.7","4.9","0.3","0.22","4.9"
"40","Puka Nacua","LA","WR","16","2025","2","100.0","4.0","4","100.0","1","0.1","100.0","0.50","1","100.0","24","1.5","100.0","12.00","24.00","24.00","20","20.00","7","7.00","0","0.0","0","0","0","0","1","100.0","1","1.00","1","0.500","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","18.0","","","","100.0","1.70","0.2","3.4","1.5","0.1","0.75","1.5"
"41","Alvin Kamara","NO","RB","11","2025","35","67.3","0.7","5","1.2","7","0.6","14.9","0.20","6","85.7","22","2.0","7.3","0.63","3.14","3.67","21","3.50","13","2.17","0","0.0","1","0","0","0","4","11.4","2","0.33","1","0.029","1","14.3","7","100.0","1","14.3","0","0","0.0","0","79.8","15.9","-3.2","","","","100.0","0.21","0.7","7.2","11.0","1.0","0.31","11.0"
"42","Jaylen Warren","PIT","RB","16","2025","17","77.3","-3.5","-14","-8.7","4","0.3","19.0","0.24","4","100.0","22","1.4","10.4","1.29","5.50","5.50","36","9.00","19","4.75","0","0.0","0","0","0","0","0","0.0","3","0.75","1","0.059","0","","4","100.0","0","","1","1","100.0","0","89.6","22.2","0.2","","","","100.0","0.36","0.4","6.2","5.1","0.3","0.30","5.1"
"43","Isaiah Davis","NYJ","RB","16","2025","20","76.9","2.3","18","18.6","8","0.5","38.1","0.40","5","62.5","22","1.4","23.4","1.10","2.75","4.40","29","5.80","11","2.20","0","0.0","0","0","0","1","2","20.0","1","0.20","1","0.050","1","12.5","7","87.5","1","12.5","2","0","0.0","0","66.7","38.1","-3.7","","","","100.0","0.36","0.5","7.2","12.7","0.8","0.64","12.7"
"44","Trey Benson","ARZ","RB","4","2025","12","100.0","1.3","4","6.2","3","0.8","30.0","0.25","3","100.0","21","5.3","22.6","1.75","7.00","7.00","17","5.67","7","2.33","0","0.0","1","0","0","0","1","20.0","0","","1","0.083","0","","3","100.0","0","","0","0","0.0","0","95.8","37.5","1.0","","","","100.0","0.43","1.3","5.1","4.4","1.1","0.36","4.4"
"45","Malik Washington","MIA","WR","17","2025","3","100.0","-3.5","-7","700.0","2","0.1","66.7","0.67","2","100.0","20","1.2","71.4","6.67","10.00","10.00","27","13.50","10","5.00","0","0.0","0","0","0","0","2","100.0","1","0.50","1","0.333","0","","2","100.0","2","100.0","0","0","0.0","0","108.3","66.7","5.3","","","","100.0","1.33","0.2","4.0","3.0","0.2","0.99","3.0"
