"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"38","Tyler Huntley","BLT","QB","5","2025","4","2","2","100.0","20","4.0","10.00","2","0","2","147.9","1","25.0","8","17.33","1","29","0","23.5","6.5","13","","0","35.0","100.0","100.0","50.0","100.0","","","","0","","0","2.20","1.70","1.7","3.3","0","3","75.0","33.3","60.99","","","0","0","0","2.93","2.93","2.3","11.7","4"
"39","Brady Cook","NYJ","QB","5","2025","3","3","1","33.3","18","3.6","6.00","0","0","1","54.9","0","","0","6.00","0","0","0","-39.3","7.0","21","","0","83.3","33.3","100.0","33.3","33.3","33.3","","33.3","1","","0","2.07","1.90","","","0","2","66.7","","40.94","","","0","0","0","0.24","0.24","0.1","0.7","3"
"40","Philip Rivers","IND","QB","3","2025","4","4","2","50.0","13","4.3","3.25","2","1","2","57.3","0","","0","2.00","0","0","0","27.0","7.5","15","","0","23.1","100.0","50.0","50.0","50.0","","","","1","","0","2.00","1.50","","","0","1","25.0","","0.42","","","1","1","0","1.88","1.88","2.5","7.5","4"
"41","Trey Lance","LAC","QB","4","2025","4","4","1","25.0","12","3.0","3.00","0","0","1","39.6","0","","0","3.00","0","0","0","-24.1","12.0","48","25.0","1","","33.3","75.0","25.0","25.0","50.0","","","0","","0","2.08","1.60","","","0","2","50.0","","24.13","","","0","0","0","0.12","0.12","0.1","0.5","4"
"42","Riley Leonard","IND","QB","5","2025","2","2","1","50.0","12","2.4","6.00","0","0","1","68.8","0","","0","6.00","0","0","0","31.6","9.0","9","","0","25.0","100.0","50.0","50.0","50.0","","","","0","","0","1.80","1.50","","","0","1","50.0","","28.87","","","0","1","0","0.24","0.24","0.1","0.5","2"
"43","Gardner Minshew","KC","QB","4","2025","2","2","2","100.0","11","2.8","5.50","0","0","1","89.6","0","","0","5.50","0","0","0","17.6","3.0","6","","0","45.5","100.0","100.0","100.0","100.0","","","","0","","0","1.50","","","","0","0","","","-15.96","","","0","0","0","0.22","0.22","0.1","0.4","2"
"44","Joe Milton","DAL","QB","4","2025","2","2","1","50.0","11","2.8","5.50","0","0","1","66.7","0","","0","5.50","0","0","0","12.6","1.0","2","","0","81.8","100.0","50.0","50.0","50.0","","","","0","","0","1.95","1.70","","","0","1","50.0","","26.28","","","0","1","0","0.22","0.22","0.1","0.4","2"
"45","Malik Willis","GB","QB","4","2025","3","3","2","66.7","10","2.5","3.33","1","0","2","111.1","0","","0","10.00","0","0","0","-3.6","8.3","25","","0","","66.7","100.0","66.7","100.0","","","","2","","0","2.20","2.90","","","0","1","33.3","","5.30","","33.3","0","0","0","1.47","1.47","1.1","4.4","3"
"46","Anthony Richardson","IND","QB","2","2025","1","1","1","100.0","9","4.5","9.00","0","0","1","104.2","0","","0","9.00","0","0","0","12.6","2.0","2","","0","77.8","100.0","","100.0","100.0","","","","0","","0","1.30","","","","0","0","","","-12.51","100.0","100.0","0","0","0","2.26","2.26","1.1","2.3","1"
"47","Davis Mills","HST","QB","6","2025","7","7","1","14.3","8","1.3","1.14","0","1","0","","0","","0","-5.29","0","0","0","-44.1","5.7","34","","0","50.0","33.3","85.7","71.4","71.4","14.3","","14.3","1","14.3","8","2.03","1.50","","","0","4","57.1","","32.07","","14.3","1","0","0","-0.10","-0.10","-0.1","-0.7","7"
"48","Mac Jones","SF","QB","11","2025","4","4","2","50.0","7","0.6","1.75","2","0","2","95.8","0","","0","11.75","0","0","0","-34.5","2.0","8","","0","","50.0","50.0","75.0","100.0","","","","2","","0","1.98","1.57","","","0","3","75.0","","50.85","","","0","0","0","2.07","2.07","0.8","8.3","4"
