"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"47","Drake London","ATL","WR","12","2025","6","100.0","8.0","24","92.3","3","0.3","50.0","0.50","2","66.7","10","0.8","66.7","1.67","3.33","5.00","0","","","","2","100.0","2","2","2","0","3","75.0","0","","2","0.333","0","","2","66.7","0","","2","2","100.0","1","111.1","60.0","-4.0","","100.0","","","2.50","1.3","15.0","8.6","0.7","1.44","8.6"
"48","Colston Loveland","CHI","TE","16","2025","6","85.7","6.0","6","18.2","1","0.1","14.3","0.17","1","100.0","9","0.6","12.3","1.50","9.00","9.00","3","3.00","1","1.00","0","0.0","0","0","0","0","1","20.0","0","","1","0.167","0","","1","100.0","0","","0","0","0.0","0","104.2","20.0","1.9","","100.0","","","0.32","0.1","1.9","1.4","0.1","0.24","1.4"
"49","Pat Bryant","DEN","WR","15","2025","6","85.7","6.0","6","19.4","1","0.1","16.7","0.17","1","100.0","9","0.6","31.0","1.50","9.00","9.00","3","3.00","1","1.00","0","0.0","0","0","0","0","1","20.0","0","","1","0.167","0","","1","100.0","0","","0","0","0.0","0","104.2","20.0","2.1","","100.0","","","0.32","0.1","1.9","1.5","0.1","0.24","1.5"
"50","Grant Calcaterra","PHI","TE","15","2025","9","90.0","4.0","4","4.5","1","0.1","10.0","0.11","1","100.0","8","0.5","7.6","0.89","8.00","8.00","4","4.00","","","0","0.0","0","0","0","0","1","11.1","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","100.0","11.1","1.9","","100.0","","","0.20","0.1","1.8","1.4","0.1","0.16","1.4"
"51","Trey McBride","ARZ","TE","17","2025","8","88.9","4.5","9","10.0","2","0.1","22.2","0.25","2","100.0","8","0.5","23.5","1.00","4.00","4.00","-1","-0.50","1","0.50","0","0.0","2","1","0","0","1","14.3","0","","0","0.000","0","","2","100.0","0","","1","1","100.0","0","83.3","25.0","-2.3","","100.0","","","0.35","0.2","2.8","5.3","0.3","0.66","5.3"
"52","Jerry Jeudy","CLV","WR","17","2025","6","100.0","13.0","26","21.0","2","0.1","33.3","0.33","1","50.0","8","0.5","80.0","1.33","4.00","8.00","-1","-1.00","-1","-1.00","0","0.0","0","0","0","0","2","40.0","0","","1","0.167","1","50.0","2","100.0","0","","0","0","0.0","0","60.4","33.3","-5.6","","100.0","","","0.30","0.1","1.8","4.2","0.2","0.70","4.2"
"53","Rashee Rice","KC","WR","8","2025","4","80.0","0.0","0","0.0","3","0.4","60.0","0.75","3","100.0","8","1.0","42.1","2.00","2.67","2.67","12","4.00","2","0.67","2","100.0","2","1","1","0","2","50.0","1","0.33","2","0.500","0","","3","100.0","2","66.7","0","0","0.0","0","118.8","60.0","-2.9","","100.0","","","3.95","2.0","15.8","6.5","0.8","1.63","6.5"
"54","Savion Williams","GB","WR","12","2025","1","100.0","-5.0","-5","100.0","1","0.1","100.0","1.00","1","100.0","8","0.7","100.0","8.00","8.00","8.00","13","13.00","","","1","100.0","1","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","1","100.0","0","0","0.0","0","139.6","100.0","3.8","","100.0","","","7.80","0.7","7.8","3.0","0.2","2.95","3.0"
"55","Juwan Johnson","NO","TE","17","2025","8","88.9","6.0","6","7.7","1","0.1","12.5","0.13","1","100.0","8","0.5","12.1","1.00","8.00","8.00","2","2.00","1","1.00","0","0.0","0","0","0","0","1","12.5","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","100.0","12.5","0.9","","100.0","","","0.23","0.1","1.8","1.6","0.1","0.20","1.6"
"56","Marquise Brown","KC","WR","16","2025","2","100.0","11.0","11","73.3","1","0.1","50.0","0.50","1","100.0","8","0.5","61.5","4.00","8.00","8.00","0","","","","1","100.0","1","1","1","0","1","50.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","139.6","50.0","-0.3","","100.0","","","3.90","0.5","7.8","4.3","0.3","2.17","4.3"
