"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"185","Lil'Jordan Humphrey","NYG, DEN","WR","10","2025","25","96.2","15.5","31","26.7","2","0.2","11.1","0.08","1","50.0","6","0.6","3.5","0.24","3.00","6.00","1","1.00","","","0","0.0","0","0","0","1","1","12.5","0","","0","0.000","0","","1","50.0","0","","0","0","0.0","0","56.3","13.3","-6.7","100.0","","","","0.06","0.2","1.6","6.1","0.6","0.24","6.1"
"186","Oronde Gadsden","LAC","TE","15","2025","14","100.0","3.0","6","10.5","2","0.1","20.0","0.14","1","50.0","6","0.4","8.3","0.43","3.00","6.00","2","2.00","5","5.00","0","0.0","0","0","0","0","1","20.0","0","","0","0.000","0","","2","100.0","0","","1","0","0.0","0","56.3","20.0","-3.2","100.0","","","","0.11","0.1","1.6","4.0","0.3","0.29","4.0"
"187","Sal Cannella","CLV","TE","2","2025","1","100.0","2.0","2","100.0","1","0.5","100.0","1.00","1","100.0","6","3.0","100.0","6.00","6.00","6.00","4","4.00","2","2.00","0","0.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","91.7","100.0","-0.4","100.0","","","","1.60","0.8","1.6","1.4","0.7","1.37","1.4"
"188","Konata Mumpfield","LA","WR","17","2025","28","100.0","14.8","74","25.9","5","0.3","19.2","0.18","1","20.0","5","0.3","2.0","0.18","1.00","5.00","0","","","","1","100.0","1","1","1","0","2","11.1","0","","1","0.036","1","20.0","2","40.0","0","","0","0","0.0","0","39.6","20.0","-8.7","100.0","","","","0.27","0.4","7.5","11.4","0.7","0.41","11.4"
"189","Sam LaPorta","DET","TE","9","2025","7","87.5","5.0","5","12.5","1","0.1","16.7","0.14","1","100.0","5","0.6","12.8","0.71","5.00","5.00","0","","","","0","0.0","0","0","0","0","1","20.0","0","","0","0.000","0","","1","100.0","0","","1","1","100.0","0","87.5","16.7","-1.5","100.0","","","","0.21","0.2","1.5","1.5","0.2","0.21","1.5"
"190","Colston Loveland","CHI","TE","16","2025","15","93.8","7.5","15","15.5","2","0.1","14.3","0.13","1","50.0","5","0.3","8.3","0.33","2.50","5.00","0","","","","1","100.0","1","1","1","0","2","22.2","0","","1","0.067","0","","2","100.0","0","","1","0","0.0","0","95.8","15.4","-4.7","100.0","","","","0.50","0.5","7.5","3.4","0.2","0.22","3.4"
"191","Tyjae Spears","TEN","RB","13","2025","3","100.0","-1.0","-2","-40.0","2","0.2","66.7","0.67","1","50.0","5","0.4","100.0","1.67","2.50","5.00","5","5.00","2","2.00","0","0.0","0","0","0","0","2","66.7","0","","1","0.333","1","50.0","2","100.0","2","100.0","0","0","0.0","0","56.3","66.7","-3.5","100.0","","","","0.50","0.1","1.5","2.9","0.2","0.98","2.9"
"192","James Proche","TEN","WR","9","2025","13","86.7","23.0","46","41.1","2","0.2","13.3","0.15","1","50.0","5","0.6","8.3","0.38","2.50","5.00","-1","-1.00","","","0","0.0","0","0","0","1","1","9.1","0","","0","0.000","0","","1","50.0","0","","0","0","0.0","0","56.3","15.4","-8.5","100.0","","","","0.12","0.2","1.5","6.2","0.7","0.48","6.2"
"193","Tez Johnson","TB","WR","16","2025","43","97.7","10.0","60","22.8","6","0.4","15.8","0.14","2","33.3","5","0.3","2.5","0.12","0.83","2.50","11","5.50","7","3.50","0","0.0","0","0","0","2","5","17.9","2","1.00","0","0.000","2","33.3","4","66.7","1","16.7","0","0","0.0","0","42.4","17.1","-7.4","100.0","","","","0.06","0.2","2.5","10.1","0.6","0.23","10.1"
"194","Gunnar Helm","TEN","TE","16","2025","7","87.5","4.0","4","9.8","1","0.1","20.0","0.14","1","100.0","5","0.3","41.7","0.71","5.00","5.00","1","1.00","","","0","0.0","0","0","0","0","1","50.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","87.5","33.3","-1.1","100.0","","","","0.21","0.1","1.5","1.4","0.1","0.20","1.4"
