"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"65","Jaret Patterson","LAC","RB","6","2025","13","50","8.3","3.85","0","0","2","7.7","22","44.0","0.0","","46.2","53.8","1","0.08","22","1.69","44.0","2.15","13","100.0","50","0","3.85","46.2","0","","0","0","","","0.8","5.0","6.5","1.1"
"66","Tyler Allgeier","ATL","RB","17","2025","13","35","2.1","2.69","0","0","1","","0","","0.0","","30.8","61.5","3","0.23","20","1.54","57.1","1.15","13","100.0","35","0","2.69","30.8","0","","0","0","","","0.2","3.5","6.5","0.4"
"67","Bam Knight","ARZ","RB","12","2025","12","51","4.3","4.25","0","0","6","","0","","0.0","","83.3","16.7","0","","16","1.33","31.4","2.92","12","100.0","51","0","4.25","83.3","0","","0","0","","","0.4","5.1","5.6","0.5"
"68","LeQuint Allen","JAX","RB","17","2025","12","62","3.6","5.17","0","0","4","","0","","0.0","","50.0","25.0","1","0.08","23","1.92","37.1","3.25","12","100.0","62","0","5.17","50.0","0","","0","0","","","0.4","6.2","7.7","0.5"
"69","Dylan Sampson","CLV","RB","15","2025","12","34","2.3","2.83","0","0","2","","0","","0.0","","25.0","50.0","0","","28","2.33","82.4","0.50","12","100.0","34","0","2.83","25.0","0","","0","0","","","0.2","3.4","6.6","0.4"
"70","Keaton Mitchell","BLT","RB","13","2025","11","63","4.8","5.73","0","0","3","9.1","22","34.9","0.0","","54.5","27.3","1","0.09","12","1.09","19.0","4.64","11","100.0","63","0","5.73","54.5","0","","0","0","","","0.5","6.3","7.7","0.6"
"71","Raheim Sanders","CLV","RB","4","2025","11","51","12.8","4.64","0","0","4","","0","","50.0","","54.5","27.3","3","0.27","39","3.55","76.5","1.09","11","100.0","51","0","4.64","54.5","0","","0","0","","","1.3","5.1","9.7","2.4"
"72","Raheem Mostert","LV","RB","12","2025","10","45","3.8","4.50","0","0","3","","0","","0.0","","50.0","20.0","0","","20","2.00","44.4","2.50","10","100.0","45","0","4.50","50.0","0","","0","0","","","0.4","4.5","5.1","0.4"
"73","Jaydon Blue","DAL","RB","5","2025","10","45","9.0","4.50","0","1","3","","0","","0.0","","60.0","40.0","1","0.10","15","1.50","33.3","3.00","10","100.0","45","0","4.50","60.0","0","","0","0","","","0.9","4.5","4.5","0.9"
"74","Emari Demercado","ARZ","RB","13","2025","10","98","7.5","9.80","0","0","4","10.0","55","56.1","0.0","","60.0","20.0","3","0.30","64","6.40","65.3","3.40","10","100.0","98","0","9.80","60.0","0","","0","0","","","0.8","9.8","4.6","0.4"
"75","Khalil Herbert","NYJ","RB","5","2025","10","35","7.0","3.50","0","0","2","","0","","0.0","","60.0","20.0","2","0.20","13","1.30","37.1","2.20","10","100.0","35","0","3.50","60.0","0","","0","0","","","0.7","3.5","4.8","1.0"
"76","Sean Tucker","TB","RB","17","2025","9","36","2.1","4.00","0","0","3","11.1","15","41.7","0.0","","44.4","44.4","0","","22","2.44","61.1","1.56","9","100.0","36","0","4.00","44.4","0","","0","0","","","0.2","3.6","4.7","0.3"
"77","Ty Johnson","BUF","RB","17","2025","8","37","2.2","4.63","0","0","2","","0","","0.0","","62.5","37.5","0","","18","2.25","48.6","2.38","8","100.0","37","0","4.63","62.5","0","","0","0","","","0.2","3.7","4.3","0.3"
"78","Jerome Ford","CLV","RB","13","2025","8","20","1.5","2.50","0","0","3","","0","","100.0","","50.0","62.5","0","","13","1.63","65.0","0.88","8","100.0","20","0","2.50","50.0","0","","0","0","","","0.2","2.0","7.0","0.5"
"79","Braelon Allen","NYJ","RB","4","2025","8","35","8.8","4.38","1","1","2","","0","","0.0","12.5","62.5","37.5","0","","14","1.75","40.0","2.63","8","100.0","35","1","4.38","62.5","0","","0","0","","","2.1","8.5","4.9","1.2"
"80","Zavier Scott","MIN","RB","11","2025","8","24","2.2","3.00","0","1","1","","0","","20.0","","50.0","37.5","0","","19","2.38","79.2","0.63","8","100.0","24","0","3.00","50.0","0","","0","0","","","0.1","1.4","5.3","0.5"
"81","Ray Davis","BUF","RB","17","2025","7","4","0.2","0.57","0","0","1","","0","","0.0","","28.6","71.4","0","","6","0.86","150.0","-0.29","7","100.0","4","0","0.57","28.6","0","","0","0","","","0.0","0.4","5.6","0.3"
"82","Evan Hull","NO","RB","6","2025","7","10","1.7","1.43","0","0","1","","0","","0.0","","14.3","85.7","0","","7","1.00","70.0","0.43","7","100.0","10","0","1.43","14.3","0","","0","0","","","0.2","1.0","4.2","0.7"
"83","Kaleb Johnson","PIT","RB","10","2025","7","17","1.7","2.43","0","0","2","","0","","0.0","","28.6","71.4","0","","11","1.57","64.7","0.86","7","100.0","17","0","2.43","28.6","0","","0","0","","","0.2","1.7","3.8","0.4"
"84","DJ Giddens","IND","RB","9","2025","7","35","3.9","5.00","0","0","2","","0","","0.0","","57.1","28.6","1","0.14","19","2.71","54.3","2.29","7","100.0","35","0","5.00","57.1","0","","0","0","","","0.4","3.5","3.0","0.3"
"85","Miles Sanders","DAL","RB","4","2025","7","22","5.5","3.14","0","1","1","","0","","0.0","","42.9","57.1","0","","16","2.29","72.7","0.86","7","100.0","22","0","3.14","42.9","0","","0","0","","","0.3","1.2","3.4","0.9"
"86","Ty Chandler","MIN","RB","3","2025","7","23","7.7","3.29","0","0","1","","0","","50.0","","42.9","57.1","0","","10","1.43","43.5","1.86","7","100.0","23","0","3.29","42.9","0","","0","0","","","0.8","2.3","5.6","1.9"
"87","Najee Harris","LAC","RB","3","2025","7","25","8.3","3.57","0","0","1","","0","","0.0","","85.7","14.3","0","","18","2.57","72.0","1.00","7","100.0","25","0","3.57","85.7","0","","0","0","","","0.8","2.5","3.3","1.1"
"88","Austin Ekeler","WAS","RB","2","2025","6","17","8.5","2.83","0","0","2","","0","","0.0","","66.7","16.7","1","0.17","8","1.33","47.1","1.50","6","100.0","17","0","2.83","66.7","0","","0","0","","","0.9","1.7","2.6","1.3"
"89","Trey Benson","ARZ","RB","4","2025","6","14","3.5","2.33","0","0","0","","0","","0.0","","50.0","50.0","0","","8","1.33","57.1","1.00","6","100.0","14","0","2.33","50.0","0","","0","0","","","0.4","1.4","3.4","0.9"
"90","George Holani","SEA","RB","10","2025","6","25","2.5","4.17","0","0","1","","0","","0.0","","50.0","33.3","1","0.17","14","2.33","56.0","1.83","6","100.0","25","0","4.17","50.0","0","","0","0","","","0.3","2.5","2.8","0.3"
"91","Dare Ogunbowale","HST","RB","17","2025","6","18","1.1","3.00","1","0","1","","0","","12.5","16.7","16.7","50.0","1","0.17","16","2.67","88.9","0.33","6","100.0","18","1","3.00","16.7","0","","0","0","","","0.5","7.8","4.2","0.2"
"92","Zamir White","LV","RB","5","2025","6","21","4.2","3.50","0","0","0","","0","","0.0","","33.3","50.0","0","","10","1.67","47.6","1.83","6","100.0","21","0","3.50","33.3","0","","0","0","","","0.4","2.1","3.2","0.6"
"93","Kene Nwangwu","NYJ","RB","10","2025","6","27","2.7","4.50","0","0","2","16.7","16","59.3","100.0","","33.3","50.0","1","0.17","12","2.00","44.4","2.50","6","100.0","27","0","4.50","33.3","0","","0","0","","","0.3","2.7","3.1","0.3"
"94","Justice Hill","BLT","RB","10","2025","5","10","1.0","2.00","0","0","1","","0","","0.0","","20.0","60.0","0","","9","1.80","90.0","0.20","5","100.0","10","0","2.00","20.0","0","","0","0","","","0.1","1.0","5.5","0.5"
"95","Trayveon Williams","LAC, CLV","RB","6","2025","5","33","5.5","6.60","0","0","3","","0","","0.0","","60.0","20.0","0","","17","3.40","51.5","3.20","5","100.0","33","0","6.60","60.0","0","","0","0","","","0.6","3.3","2.7","0.5"
"96","Tahj Brooks","CIN","RB","12","2025","5","16","1.3","3.20","0","0","1","","0","","0.0","","40.0","60.0","0","","15","3.00","93.8","0.20","5","100.0","16","0","3.20","40.0","0","","0","0","","","0.1","1.6","2.8","0.2"
"97","Trevor Etienne","CAR","RB","17","2025","5","43","2.5","8.60","0","0","3","20.0","22","51.2","0.0","","80.0","20.0","1","0.20","22","4.40","51.2","4.20","5","100.0","43","0","8.60","80.0","0","","0","0","","","0.3","4.3","3.2","0.2"
"98","Corey Kiner","ARZ","RB","4","2025","5","24","6.0","4.80","0","0","2","","0","","0.0","","60.0","20.0","2","0.40","12","2.40","50.0","2.40","5","100.0","24","0","4.80","60.0","0","","0","0","","","0.6","2.4","2.2","0.6"
"99","Hassan Haskins","LAC","RB","11","2025","5","6","0.5","1.20","0","0","1","","0","","0.0","","20.0","80.0","0","","5","1.00","83.3","0.20","5","100.0","6","0","1.20","20.0","0","","0","0","","","0.1","0.6","2.4","0.2"
"100","D'Ernest Johnson","ARZ, NE","RB","6","2025","5","13","2.2","2.60","0","0","0","","0","","0.0","","20.0","60.0","0","","9","1.80","69.2","0.80","5","100.0","13","0","2.60","20.0","0","","0","0","","","0.2","1.3","2.1","0.4"
"101","Antonio Gibson","NE","RB","5","2025","4","3","0.6","0.75","0","1","0","","0","","0.0","","","100.0","0","","4","1.00","133.3","-0.25","4","100.0","3","0","0.75","","0","","0","0","","","-0.1","-0.7","1.8","0.4"
"102","Jacardia Wright","SEA","RB","1","2025","4","10","10.0","2.50","0","0","0","","0","","0.0","","25.0","75.0","0","","4","1.00","40.0","1.50","4","100.0","10","0","2.50","25.0","0","","0","0","","","1.0","1.0","1.8","1.8"
