"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"70","Corey Kiner","ARZ","RB","4","2025","2","7","1.8","3.50","0","0","0","","0","","0.0","","50.0","","0","","2","1.00","28.6","2.50","0","","0","0","","","2","100.0","7","0","3.50","50.0","0.2","0.7","0.9","0.2"
"71","Audric Estime","NO","RB","6","2025","2","6","1.0","3.00","0","0","0","","0","","50.0","","50.0","100.0","1","0.50","6","3.00","100.0","0.00","0","","0","0","","","2","100.0","6","0","3.00","50.0","0.1","0.6","2.1","0.4"
"72","Devin Neal","NO","RB","9","2025","2","15","1.7","7.50","0","0","1","50.0","15","100.0","0.0","","50.0","50.0","1","0.50","6","3.00","40.0","4.50","0","","0","0","","","2","100.0","15","0","7.50","50.0","0.2","1.5","1.0","0.1"
"73","Brashard Smith","KC","RB","17","2025","2","9","0.5","4.50","0","0","1","","0","","0.0","","50.0","50.0","0","","4","2.00","44.4","2.50","0","","0","0","","","2","100.0","9","0","4.50","50.0","0.1","0.9","1.4","0.1"
"74","Jawhar Jordan","HST","RB","4","2025","2","2","0.5","1.00","0","0","0","","0","","0.0","","","100.0","0","","1","0.50","50.0","0.50","0","","0","0","","","2","100.0","2","0","1.00","","0.1","0.2","0.9","0.2"
"75","Bhayshul Tuten","JAX","RB","15","2025","2","10","0.7","5.00","0","0","0","","0","","0.0","","100.0","","1","0.50","12","6.00","120.0","-1.00","0","","0","0","","","2","100.0","10","0","5.00","100.0","0.1","1.0","1.0","0.1"
"76","Ollie Gordon","MIA","RB","17","2025","2","3","0.2","1.50","0","0","0","","0","","0.0","","50.0","100.0","0","","3","1.50","100.0","0.00","0","","0","0","","","2","100.0","3","0","1.50","50.0","0.0","0.3","1.9","0.1"
"77","Jaret Patterson","LAC","RB","6","2025","2","3","0.5","1.50","0","0","0","","0","","0.0","","","100.0","0","","0","","","1.50","0","","0","0","","","2","100.0","3","0","1.50","","0.1","0.3","0.9","0.1"
"78","DJ Giddens","IND","RB","9","2025","2","5","0.6","2.50","0","0","1","","0","","0.0","","50.0","50.0","0","","2","1.00","40.0","1.50","0","","0","0","","","2","100.0","5","0","2.50","50.0","0.1","0.5","1.2","0.1"
"79","Dameon Pierce","HST, KC","RB","5","2025","1","2","0.4","2.00","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","100.0","0.00","0","","0","0","","","1","100.0","2","0","2.00","","0.0","0.2","0.5","0.1"
"80","Raheim Sanders","CLV","RB","4","2025","1","5","1.3","5.00","0","0","0","","0","","0.0","","100.0","","0","","3","3.00","60.0","2.00","0","","0","0","","","1","100.0","5","0","5.00","100.0","0.1","0.5","0.5","0.1"
"81","Kalel Mullings","TEN","RB","5","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","0","","","0.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.6","0.1"
"82","Kenneth Gainwell","PIT","RB","17","2025","1","5","0.3","5.00","0","0","0","","0","","0.0","","100.0","","0","","3","3.00","60.0","2.00","0","","0","0","","","1","100.0","5","0","5.00","100.0","0.0","0.5","0.5","0.0"
"83","Braelon Allen","NYJ","RB","4","2025","1","15","3.8","15.00","0","0","1","100.0","15","100.0","0.0","","100.0","","0","","5","5.00","33.3","10.00","0","","0","0","","","1","100.0","15","0","15.00","100.0","0.4","1.5","0.4","0.1"
"84","Chris Brooks","GB","RB","17","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","","-2.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.5","0.0"
"85","Raheem Mostert","LV","RB","12","2025","1","-3","-0.3","-3.00","0","0","0","","0","","0.0","","","100.0","0","","0","","","-3.00","0","","0","0","","","1","100.0","-3","0","-3.00","","0.0","-0.3","0.8","0.1"
"86","Jaleel McLaughlin","DEN","RB","8","2025","1","0","0.0","","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","","-1.00","0","","0","0","","","1","100.0","0","0","","","","0.0","0.5","0.1"
"87","Dare Ogunbowale","HST","RB","17","2025","1","0","0.0","","0","0","0","","0","","50.0","","","100.0","0","","1","1.00","","-1.00","0","","0","0","","","1","100.0","0","0","","","","0.0","3.4","0.2"
"88","Trevor Etienne","CAR","RB","17","2025","1","2","0.1","2.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","50.0","1.00","0","","0","0","","","1","100.0","2","0","2.00","","0.0","0.2","0.5","0.0"
"89","Ashton Jeanty","LV","RB","17","2025","1","-5","-0.3","-5.00","0","0","0","","0","","0.0","","","100.0","0","","0","","","-5.00","0","","0","0","","","1","100.0","-5","0","-5.00","","0.0","-0.5","0.4","0.0"
"90","Samaje Perine","CIN","RB","15","2025","1","5","0.3","5.00","0","0","0","","0","","0.0","","100.0","","0","","2","2.00","40.0","3.00","0","","0","0","","","1","100.0","5","0","5.00","100.0","0.0","0.5","0.5","0.0"
"91","Nyheim Hines","LAC, NO","RB","4","2025","1","1","0.3","1.00","0","0","0","","0","","0.0","","","100.0","0","","1","1.00","100.0","0.00","0","","0","0","","","1","100.0","1","0","1.00","","0.0","0.1","0.5","0.1"
