"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"85","Tahj Brooks","CIN","RB","12","2025","4","9","0.8","2.25","0","0","0","","0","","0.0","","25.0","75.0","0","","6","1.50","66.7","0.75","0","","0","0","","","4","100.0","9","0","2.25","25.0","0.1","0.9","2.0","0.2"
"86","Kaleb Johnson","PIT","RB","10","2025","4","8","0.8","2.00","0","0","0","","0","","0.0","","25.0","75.0","0","","11","2.75","137.5","-0.75","0","","0","0","","","4","100.0","8","0","2.00","25.0","0.1","0.8","1.9","0.2"
"87","George Holani","SEA","RB","10","2025","4","20","2.0","5.00","0","0","2","","0","","0.0","","75.0","","2","0.50","14","3.50","70.0","1.50","0","","0","0","","","4","100.0","20","0","5.00","75.0","0.2","2.0","1.6","0.2"
"88","Audric Estime","NO","RB","6","2025","4","9","1.5","2.25","0","0","1","","0","","100.0","","25.0","50.0","0","","-6","-1.50","-66.7","3.75","0","","0","0","","","4","100.0","9","0","2.25","25.0","0.2","0.9","7.5","1.3"
"89","D'Ernest Johnson","NE, ARZ","RB","6","2025","4","6","1.0","1.50","0","0","0","","0","","0.0","","","100.0","1","0.25","17","4.25","283.3","-2.75","0","","0","0","","","4","100.0","6","0","1.50","","0.1","0.6","1.8","0.3"
"90","Corey Kiner","ARZ","RB","4","2025","4","23","5.8","5.75","0","0","2","","0","","0.0","","75.0","25.0","0","","14","3.50","60.9","2.25","0","","0","0","","","4","100.0","23","0","5.75","75.0","0.6","2.3","2.2","0.5"
"91","Cam Akers","MIN, SEA","RB","4","2025","3","5","1.3","1.67","0","0","0","","0","","0.0","","33.3","66.7","0","","6","2.00","120.0","-0.33","0","","0","0","","","3","100.0","5","0","1.67","33.3","0.1","0.5","2.1","0.5"
"92","Dylan Laube","LV","RB","17","2025","3","6","0.4","2.00","0","0","0","","0","","0.0","","","66.7","0","","4","1.33","66.7","0.67","0","","0","0","","","3","100.0","6","0","2.00","","0.0","0.6","2.0","0.1"
"93","Devin Neal","NO","RB","9","2025","3","4","0.4","1.33","0","0","0","","0","","0.0","","33.3","66.7","0","","0","","","1.33","0","","0","0","","","3","100.0","4","0","1.33","33.3","0.0","0.4","1.4","0.2"
"94","Julius Chestnut","TEN","RB","17","2025","3","4","0.2","1.33","0","0","0","","0","","100.0","","33.3","66.7","0","","3","1.00","75.0","0.33","0","","0","0","","","3","100.0","4","0","1.33","33.3","0.0","0.4","2.7","0.2"
"95","Hassan Haskins","LAC","RB","11","2025","3","8","0.7","2.67","0","0","0","","0","","0.0","","","100.0","0","","5","1.67","62.5","1.00","0","","0","0","","","3","100.0","8","0","2.67","","0.1","0.8","1.4","0.1"
"96","Ty Chandler","MIN","RB","3","2025","3","3","1.0","1.00","0","0","0","","0","","0.0","","","100.0","0","","4","1.33","133.3","-0.33","0","","0","0","","","3","100.0","3","0","1.00","","0.1","0.3","1.2","0.4"
"97","Tyler Goodson","IND","RB","11","2025","3","6","0.5","2.00","0","0","0","","0","","0.0","","","66.7","0","","6","2.00","100.0","0.00","0","","0","0","","","3","100.0","6","0","2.00","","0.1","0.6","1.4","0.1"
"98","Trayveon Williams","LAC, CLV","RB","6","2025","2","5","0.8","2.50","0","0","0","","0","","0.0","","50.0","50.0","0","","2","1.00","40.0","1.50","0","","0","0","","","2","100.0","5","0","2.50","50.0","0.1","0.5","1.0","0.2"
"99","Nate Carter","ATL","RB","4","2025","2","16","4.0","8.00","0","0","1","","0","","0.0","","50.0","","0","","6","3.00","37.5","5.00","0","","0","0","","","2","100.0","16","0","8.00","50.0","0.4","1.6","0.9","0.2"
"100","Raheem Mostert","LV","RB","12","2025","2","2","0.2","1.00","0","0","0","","0","","0.0","","50.0","50.0","0","","4","2.00","200.0","-1.00","0","","0","0","","","2","100.0","2","0","1.00","50.0","0.0","0.2","1.1","0.1"
"101","Brashard Smith","KC","RB","17","2025","2","11","0.6","5.50","0","0","1","","0","","0.0","","50.0","50.0","0","","4","2.00","36.4","3.50","0","","0","0","","","2","100.0","11","0","5.50","50.0","0.1","1.1","0.8","0.0"
"102","Braelon Allen","NYJ","RB","4","2025","2","5","1.3","2.50","0","0","0","","0","","0.0","","50.0","50.0","0","","3","1.50","60.0","1.00","0","","0","0","","","2","100.0","5","0","2.50","50.0","0.1","0.5","1.7","0.4"
"103","Najee Harris","LAC","RB","3","2025","2","7","2.3","3.50","0","0","1","","0","","0.0","","100.0","","0","","6","3.00","85.7","0.50","0","","0","0","","","2","100.0","7","0","3.50","100.0","0.2","0.7","0.9","0.3"
