"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"48","Joe Burrow","CIN","QB","8","2025","8","26","3.3","3.25","0","0","0","","0","","0.0","","12.5","62.5","0","","8","1.00","30.8","0.00","0","","0","0","","","0","","0","0","","","0.3","2.6","3.6","0.5"
"49","Kenny Pickett","LV","QB","6","2025","3","23","3.8","7.67","0","0","3","","0","","0.0","","100.0","","0","","3","1.00","13.0","0.00","0","","0","0","","","0","","0","0","","","0.4","2.3","1.5","0.3"
"50","Joe Milton","DAL","QB","4","2025","3","22","5.5","7.33","0","1","0","","0","","100.0","","66.7","33.3","1","0.33","3","1.00","13.6","0.00","0","","0","0","","","0","","0","0","","","0.3","1.2","2.8","0.7"
"51","Matthew Stafford","LA","QB","17","2025","7","22","1.3","3.14","0","0","0","","0","","0.0","","14.3","57.1","0","","4","0.57","18.2","0.00","0","","0","0","","","0","","0","0","","","0.1","2.2","3.4","0.2"
"52","Quinn Ewers","MIA","QB","4","2025","3","21","5.3","7.00","0","0","1","","0","","0.0","","100.0","","1","0.33","0","","","0.00","0","","0","0","","","0","","0","0","","","0.5","2.1","1.4","0.4"
"53","Chris Oladokun","KC","QB","3","2025","4","18","6.0","4.50","0","0","0","","0","","0.0","","75.0","25.0","1","0.25","2","0.50","11.1","0.00","0","","0","0","","","0","","0","0","","","0.6","1.8","2.4","0.8"
"54","Clayton Tune","GB","QB","2","2025","2","17","8.5","8.50","0","0","1","50.0","16","94.1","0.0","","50.0","50.0","1","0.50","0","","","0.00","0","","0","0","","","0","","0","0","","","0.9","1.7","1.0","0.5"
"55","Max Brosmer","MIN","QB","7","2025","2","16","2.3","8.00","0","0","1","","0","","0.0","","100.0","","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","0.2","1.6","1.1","0.2"
"56","Mitchell Trubisky","BUF","QB","4","2025","2","13","3.3","6.50","0","0","0","","0","","0.0","","50.0","","0","","6","3.00","46.2","0.00","0","","0","0","","","0","","0","0","","","0.3","1.3","1.2","0.3"
"57","Tanner McKee","PHI","QB","4","2025","3","12","3.0","4.00","0","0","1","","0","","0.0","","33.3","66.7","0","","13","4.33","108.3","0.00","0","","0","0","","","0","","0","0","","","0.3","1.2","2.2","0.5"
"58","Jameis Winston","NYG","QB","3","2025","1","11","3.7","11.00","0","0","1","","0","","0.0","","100.0","","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","0.4","1.1","0.9","0.3"
"59","Gardner Minshew","KC","QB","4","2025","1","8","2.0","8.00","0","0","0","","0","","0.0","","","","0","","4","4.00","50.0","0.00","0","","0","0","","","0","","0","0","","","0.2","0.8","0.6","0.1"
"60","Kirk Cousins","ATL","QB","10","2025","2","8","0.8","4.00","0","0","1","","0","","0.0","","50.0","50.0","0","","2","1.00","25.0","0.00","0","","0","0","","","0","","0","0","","","0.1","0.8","0.8","0.1"
"61","Aidan O'Connell","LV","QB","1","2025","1","7","7.0","7.00","0","0","0","","0","","0.0","","","","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","0.7","0.7","0.2","0.2"
"62","Tyson Bagent","CHI","QB","3","2025","1","7","2.3","7.00","0","0","0","","0","","0.0","","100.0","","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","0.2","0.7","0.5","0.2"
"63","Teddy Bridgewater","TB","QB","4","2025","1","6","1.5","6.00","0","0","0","","0","","0.0","","","","0","","2","2.00","33.3","0.00","0","","0","0","","","0","","0","0","","","0.2","0.6","1.9","0.5"
"64","Shane Buechele","KC","QB","1","2025","1","4","4.0","4.00","0","0","0","","0","","0.0","","","","1","1.00","0","","","0.00","0","","0","0","","","0","","0","0","","","0.4","0.4","0.0","0.0"
"65","Zach Wilson","MIA","QB","4","2025","1","3","0.8","3.00","0","0","0","","0","","0.0","","","100.0","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","0.1","0.3","0.5","0.1"
"66","Mason Rudolph","PIT","QB","5","2025","1","3","0.6","3.00","0","0","0","","0","","0.0","","100.0","","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","0.1","0.3","1.4","0.3"
"67","Joshua Dobbs","NE","QB","4","2025","1","2","0.5","2.00","0","0","0","","0","","0.0","","","100.0","0","","0","","","0.00","0","","0","0","","","0","","0","0","","","0.1","0.2","0.3","0.1"
"68","Andy Dalton","CAR","QB","4","2025","1","1","0.3","1.00","0","1","0","","0","","0.0","","","100.0","0","","1","1.00","100.0","0.00","0","","0","0","","","0","","0","0","","","-0.2","-0.9","0.8","0.2"
